2025-11-20,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-20,Joel,"+ lerp func"
2025-11-20,Joel,"Vector2D add,sub,mul,div"
2025-11-20,masta of the universe,"+Integrated .jar functionality, -Outsourced route, network and sumo.exe to parent folder"
2025-11-20,masta of the universe,"Merge pull request #16 from Spaceglidemasta/sumo-service"
2025-11-20,masta of the universe,"+debugging -magic strings"
2025-11-21,Joel,"+func Vector2D.toString()"
2025-11-21,Joel,"+ relative location calculations"
2025-11-21,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-21,Joel,"+ first working world object prototype"
2025-11-21,Joel,"+ Keyboard class"
2025-11-21,Joel,"some clean up & ISSUE: y axis is flipped, needs to be fixed"
2025-11-21,Joel,"+func Vector2D.getRotation()"
2025-11-21,Joel,"Update Keyboard.java"
2025-11-21,Joel,"+ rotation controls"
2025-11-21,Joel,"code formatting"
2025-11-21,Joel,"reformat code"
2025-11-21,Joel,"some clean up and moved constants to UI class"
2025-11-21,Joel,"some clean up and file restructuring"
2025-11-21,Joel,"restructuring"
2025-11-21,Joel,"restructuring"
2025-11-21,Joel,"restructuring"
2025-11-21,Joel,"restrcuturing"
2025-11-21,Joel,"java graphics warning removal"
2025-11-23,masta of the universe," added comments to SimController"
2025-11-23,spaceglidemasta,"Merge pull request #17 from Spaceglidemasta/basic-gui-noSumoFeatures"
2025-11-23,masta of the universe,"Merge branch 'main' into sumo-service"
2025-11-23,masta of the universe,"+ SimController.getTrafficLights, + SimController.addVehicle [blueprint], + comments in SimController"
2025-11-23,spaceglidemasta,"Merge pull request #18 from Spaceglidemasta/sumo-service"
2025-11-24,Leon-Uas,"Console for debugging first itteration"
2025-11-24,Leon-Uas,"New debugwindow in JavaFX"
2025-11-24,Joel,"fixed world object location not updating on zoom change"
2025-11-25,Joel,"+ comments in const UI class"
2025-11-25,Joel,"+ some comments in the Vector2D class"
2025-11-25,masta of the universe,"Fixed some bugs regarding Debug.Console, changed all Debug.print in ui to Debug.toConsole. excluded .idea from source control"
2025-11-25,spaceglidemasta,"Merge pull request #19 from Spaceglidemasta/debug"
2025-11-25,Joel,"more comments"
2025-11-25,masta of the universe,"Added searching for sumo.exe in C:\Program Files (x86)\Eclipse\Sumo\/bin first."
2025-11-25,spaceglidemasta,"Merge pull request #20 from Spaceglidemasta/sumo-service"
2025-11-26,masta of the universe,"Milestone commit"
2025-11-26,spaceglidemasta,"Merge pull request #21 from Spaceglidemasta/sumo-service"
2025-11-26,Joel,"+ more basic comments"
2025-11-26,Joel0457,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-26,Joel0457,"Merge pull request #22 from Spaceglidemasta/basic-gui-noSumoFeatures"
2025-11-26,masta of the universe,"Second Milestone 1 push, added some comments"
2025-11-26,spaceglidemasta,"Merge pull request #23 from Spaceglidemasta/sumo-service"
2025-11-26,masta of the universe,"Update SimController.java"
2025-11-26,spaceglidemasta,"Merge pull request #24 from Spaceglidemasta/sumo-service"
2025-11-26,masta of the universe,"Small but important changes to README"
2025-11-26,spaceglidemasta,"Merge pull request #25 from Spaceglidemasta/sumo-service"
2025-11-26,Joel,"removed comment"
2025-11-27,Joel,"set recentlyOpend button to default disabled"
2025-11-27,Joel,"added a fake class for function class for the time of no actual sumo interaction existing"
2025-11-27,Joel,"made the recently opend feature functional"
2025-11-27,Joel,"func namechange"
2025-11-28,masta of the universe,"Added the SimController.job method, which is just a warpper for the do_job_get() method."
2025-11-28,Joel,"remove invalid recentlyopend entries"
2025-11-28,masta of the universe,"Added WVehicle class with getters; Added new getter to SimController"
2025-11-28,spaceglidemasta,"Merge pull request #26 from Spaceglidemasta/sumo-service"
2025-11-28,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-28,Joel,"+ multiple file selection"
2025-11-28,masta of the universe,"fixed huge mistake in SimController (do_job_get and do_job_set are not the same); Updated WVehicle.getPos() to function correct."
2025-11-28,spaceglidemasta,"Merge pull request #27 from Spaceglidemasta/sumo-service"
2025-11-28,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-28,Joel0457,"Merge pull request #28 from Spaceglidemasta/basic-gui-noSumoFeatures"
2025-11-28,masta of the universe,"Changed comments and type in SimController.addVehicle()"
2025-11-28,masta of the universe,"Added debug.exceptions package, together with InvalidFilesSelected"
2025-11-28,spaceglidemasta,"Merge pull request #29 from Spaceglidemasta/debug"
2025-11-28,masta of the universe,"Merge branch 'main' into sumo-service"
2025-11-28,Joel,"+ Vector2D funcs"
2025-11-28,Joel,"added full JavaDoc documentation to the Vector2D class"
2025-11-28,Joel,"removal of SimulationView2D and 3D classes as they had no purpose"
2025-11-28,Joel,"some file restructuring"
2025-11-28,masta of the universe,"Added functionality to the FakeInteractions and changed some methods in SimController"
2025-11-28,masta of the universe,"added SimController Constructor for .sumocfg files"
2025-11-28,Joel,"added JavaDoc to the Keyboard class and changed it to an list based listener"
2025-11-28,Joel,"changed some javadoc in Vector2D"
2025-11-28,Joel,"+ Meth class java doc template"
2025-11-28,Joel,"+ java doc template for MenuItem_RecentlyOpend"
2025-11-28,Joel,"added java doc template for MainApp"
2025-11-28,Joel,"added javadoc template forBodyController"
2025-11-28,Joel,"added javadoc template for TailController"
2025-11-28,Joel,"added javadoc template for CanvasController"
2025-11-28,Joel,"added javadoc template for ToolbarController"
2025-11-28,Joel,"added javadoc template for World class"
2025-11-28,Joel,"added javadoc template for WorldObject class"
2025-11-29,Joel,"+ pivot of world rotation is now center of view, rotation of world is now done in a relative way instead of absolute"
2025-11-29,Joel,"0,0 pivot based zoom"
2025-11-29,Joel,"viewer zoom pivot at 0,0"
2025-11-29,Joel,"read mouseposition in world space"
2025-11-29,Joel,"fixed zoom issue with worldspaceMousePosition"
2025-11-29,masta of the universe,"Added WVehicle.update logic"
2025-11-29,spaceglidemasta,"Merge pull request #30 from Spaceglidemasta/sumo-service"
2025-11-29,Joel,"+ interaction func to interact with objects in the world"
2025-11-30,masta of the universe,"Added Lane attribute together with constructor and updater to WVehicle Class"
2025-11-30,masta of the universe,"Added Junction and  Traffic Light related methods to SimController"
2025-11-30,spaceglidemasta,"Merge pull request #31 from Spaceglidemasta/sumo-service"
2025-11-30,masta of the universe,"Added StaticTester Class so the main functio isnt cluttered wit testing"
2025-11-30,spaceglidemasta,"Merge pull request #32 from Spaceglidemasta/debug"
2025-12-02,Joel,"+ car icon"
2025-12-02,Joel,"changing icon color on runtime with pixel reader/writer"
2025-12-02,masta of the universe,"Added timestep methods to SimController and updated the Test scenario"
2025-12-02,Joel,"colors in rgba instead of Color.RED,..."
2025-12-02,masta of the universe,"Changed List<String> return type to SumoStringList in some SimController methods"
2025-12-02,Joel,"manager attempt for color coded icons"
2025-12-02,Joel,"another non functional icon manager attempt"
2025-12-03,Joel,"world and worlobject class more oop style"
2025-12-03,Joel,"world* classes restructuring and more oop approach"
2025-12-03,Joel,"added ColoredIconManager to world vehicle class"
2025-12-03,Joel,"+ WorldPoint class"
2025-12-03,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-12-03,Joel,"Update ToolbarController.java"
2025-12-03,Joel,"+ javadoc info in WorldObject class"
2025-12-03,Joel,"WorldClass formatted"
2025-12-03,Joel,"+ javadoc + formatting of many files"
2025-12-03,Joel,"Delete ColoredIcon.java"
2025-12-03,Joel,"Delete MenuItem_RecentlyOpend.java"
2025-12-03,Joel,"rename of WorldVehicle's imageTint to color"
2025-12-04,Joel,"Create DataPanelEntryExamples.fxml"
2025-12-04,Joel,"include data panel entry exmaple in body"
2025-12-04,spaceglidemasta,"Merge pull request #33 from Spaceglidemasta/sumo-service"
2025-12-04,Joel,"+ nodepoint and vehicle render"
2025-12-04,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-12-04,Joel,"load complex sumo cfg"
2025-12-04,Joel,"_sumcon getter func for wvehicle - no javadocs"
2025-12-04,Joel,"outcommented test code for merge with main"
2025-12-04,Joel0457,"Merge pull request #34 from Spaceglidemasta/basic-gui-noSumoFeatures"
2025-12-04,Joel,"+ Simulation Controls Controller"
2025-12-04,Joel,"+ default simulation ini on startup"
2025-12-04,Joel,"+ SimView2D class"
2025-12-04,Joel,"outcommented world color as world background logic broke"
2025-12-04,Joel,"working sumo simulation step and play feature"
2025-12-06,Joel,"changed SimController.getSumoLoc() from private to public to use it in the FakeInteraction class"
2025-12-06,Joel,"+ some null checks to fix null error related issues"
2025-12-06,Joel,"FakeInteractions class: converted absolute paths to relative ones so the gui file selection works"
2025-12-06,Joel,"+ FakeInteractions.getRelativePath() JavaDoc and AI code part explainations"
2025-12-07,Joel0457,"Merge pull request #35 from Spaceglidemasta/gui"
2025-12-07,masta of the universe,"Changed some var names in SumoController"
2025-12-07,masta of the universe,"Merge branch 'main' into sumo-service"
2025-12-07,masta of the universe,"Updatet naming"
2025-12-07,spaceglidemasta,"Merge pull request #36 from Spaceglidemasta/sumo-service"
2025-12-07,masta of the universe,"Changed alot of logic in SimController and the Selection proccess of Files. + getTLJunctions() method in SimController"
2025-12-07,spaceglidemasta,"Merge pull request #37 from Spaceglidemasta/sumo-service"
2025-12-07,masta of the universe,"Added methods for color and speed to WVehicle"
2025-12-07,spaceglidemasta,"Merge pull request #38 from Spaceglidemasta/sumo-service"
2025-12-07,Joel,"+ color coded vehicle render implemention"
2025-12-07,Joel,"+ box collision functionality"
2025-12-07,Joel,"world object detail class placeholders"
2025-12-07,Joel,"+ gui simulation speed modifier"
2025-12-08,Leon-Uas,"Lane coordinates"
2025-12-08,Leon-Uas,"Update SimController.java"
2025-12-08,Joel,"+ world object detail panel system + detail panel for vehicles"
2025-12-08,Joel,"+ visual detail panel kill when detail object is gone from simulation"
2025-12-09,Leon-Uas,"Merge branch 'main' into debug"
2025-12-09,spaceglidemasta,"Merge pull request #39 from Spaceglidemasta/debug"
2025-12-09,spaceglidemasta,"Merge pull request #40 from Spaceglidemasta/main"
2025-12-09,spaceglidemasta,"Merge pull request #41 from Spaceglidemasta/sumo-service"
2025-12-09,spaceglidemasta,"Merge branch 'main' into gui"
2025-12-09,spaceglidemasta,"Merge pull request #42 from Spaceglidemasta/gui"
2025-12-09,Joel,"outcommetted broken code in SimController"
2025-12-09,Joel," added UI constant to decide which color value should be replaced for the color coded icons"
2025-12-09,Joel,"readded car icon, changed custom car icon name"
2025-12-09,Joel,"vehicle param change attempt [failed]"
2025-12-09,Leon-Uas,"Traffic light itteration 1"
2025-12-09,Joel,"+ java doc in VehicleDetailsController"
2025-12-09,Joel,"close main simu on program end"
2025-12-09,Joel,"Merge branch 'main' into gui"
2025-12-09,Joel,"+ Toolbar.close functionality"
2025-12-09,Joel,"set reload and export button to always disabled becaus enot implemented yet"
2025-12-09,Joel,"fixed box collision + added box collision visuals"
2025-12-09,Joel,"+ javadoc in World class"
2025-12-09,Joel,"completed JavaDoc for the Vector2D class"
2025-12-09,Joel,"Main class cleanup"
2025-12-09,Joel,"completed JavaDoc for the Keyboard class"
2025-12-09,Joel,"completed JavaDoc for MainApp class"
2025-12-09,Joel,"Vector2D code restructuring for readability"
2025-12-09,Joel,"MainApp code restructuring for readability"
2025-12-09,Joel,"completed JavaDoc for the WorldPoint class and added some more structuring for code readibility in some other classes"
2025-12-09,Joel,"+ some more multiple class code cleanup"
2025-12-09,Joel,"some more multi class code cleanup and restructuring"
2025-12-10,masta of the universe,"Fixed _sumcon to stc"
2025-12-10,masta of the universe,"Changed Color conversion in Meth and WorldVehicle. Also hitbox is smaller, care"
2025-12-10,masta of the universe,"bonus to last commit"
2025-12-10,Joel,"some more java doc in various classes and some lambda parameter reduction"
2025-12-10,Joel,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-10,Joel,"+ vehicle filter ui design"
2025-12-10,Joel,"Create EdgeDetails.fxml"
2025-12-10,Joel,"added draw methods in WorldObject class and moved draw related actions into their own methods"
2025-12-10,Joel,"implemented drawImage method in WorldVehicle class"
2025-12-10,Joel,"improved readibility in WorldObject class"
2025-12-10,Joel,"added drawPolygon(List<Vector2D>) to WorldObject class"
2025-12-10,Joel,"+ JavaDoc for all draw methods in the WorldObject class"
2025-12-10,Joel,"fixed format error"
2025-12-10,Joel,"implemented drawSphere method in WorldPoint class and updated collision logic to make more sense"
2025-12-10,Joel,"vehicle color coded icons now kinda functionaly but they turn to rgb disco on selection"
2025-12-11,Joel,"fixed Meth.ClrToSumoClr method which had its green and blue channel swapped"
2025-12-11,Joel,"removal of unused and incorrect color conversion methods"
2025-12-11,Leon-Uas,"Merge branch 'main' into gui"
2025-12-11,Leon-Uas,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-11,Leon-Uas,"Added getJunctionShape"
2025-12-11,spaceglidemasta,"Merge pull request #43 from Spaceglidemasta/gui"
2025-12-11,masta of the universe,"comments"
2025-12-11,masta of the universe,"Added SumoRoad prototype"
